champion,bucket,picks,win_rate,ban_rate,ban_win_salience_residual
Aatrox,low,1696,0.4964622641509434,0.004707874682472481,-0.43540398190856294
Ahri,low,6411,0.512244579628763,0.010753598645215919,-0.9467667565366129
Akali,low,2312,0.4749134948096886,0.006943268416596105,0.3570011677269647
Alistar,low,5201,0.4866371851567006,0.004064352243861135,-0.08904172877039923
Amumu,low,4993,0.551171640296415,0.011024555461473328,-2.3395206256327725
Anivia,low,2655,0.5212806026365349,0.006756985605419136,-1.3065180093511946
Annie,low,7045,0.5056068133427963,0.051058425063505504,-0.3469145288230971
Ashe,low,5655,0.4806366047745358,0.0012023708721422524,0.10032411041284944
Azir,low,2665,0.46904315196998125,0.005402201524132092,0.5535613050236828
Bard,low,3160,0.44050632911392407,0.004843353090601185,1.5713326933527494
Blitzcrank,low,13266,0.5199758781848334,0.09405588484335309,-0.4757888673066491
Brand,low,9104,0.5632688927943761,0.191922099915326,-1.1485927845049417
Braum,low,5979,0.4930590399732397,0.004436917866215072,-0.31586208025950513
Caitlyn,low,9424,0.46551358234295415,0.013226079593564775,0.7503252483679108
Cassiopeia,low,1056,0.48295454545454547,0.0012531752751905165,0.01770289514450546
Cho'Gath,low,4945,0.5035389282103134,0.03722269263336156,-0.39704774750001015
Corki,low,2354,0.5106202209005948,0.0030651989839119392,-0.9575918119285712
Darius,low,4983,0.4675898053381497,0.4539034716342083,4.633306860017139
Diana,low,4687,0.5058672925112012,0.027349703640982218,-0.569160758228504
Dr. Mundo,low,6240,0.5399038461538461,0.6267569856054191,3.5937637067620725
Draven,low,3361,0.504016661707825,0.004843353090601185,-0.7049449698996714
Ekko,low,5930,0.49308600337268127,0.017425910245554614,-0.20018400471816694
Elise,low,2342,0.45388556789069173,0.007857747671464861,1.118876622941945
Evelynn,low,1713,0.4985405720957385,0.004352243861134632,-0.5130863980779328
Ezreal,low,8266,0.47435277038470847,0.0025740897544453854,0.337861784259238
Fiddlesticks,low,1320,0.4628787878787879,0.0013039796782387807,0.7376955704876067
Fiora,low,4218,0.5056899004267426,0.2162912785774767,1.1339408104274808
Fizz,low,7451,0.502617098376057,0.09822184589331075,0.18377960270599403
Galio,low,804,0.5261194029850746,0.0018120237087214225,-1.5243527667325178
Gangplank,low,2609,0.5093905711000384,0.024775613886536832,-0.7185547828494303
Garen,low,6733,0.5207188474676964,0.3988653683319221,2.2348494159459884
Gnar,low,4101,0.501584979273348,0.008873835732430144,-0.5815961284492684
Gragas,low,1508,0.4376657824933687,0.002523285351397121,1.6523060947499109
Graves,low,6049,0.5427343362539263,0.1530397967823878,-0.7617855271988014
Hecarim,low,3187,0.5083150298085974,0.005774767146486029,-0.8506387040498782
Heimerdinger,low,2721,0.5034913634693128,0.017138018628281116,-0.57570848421587
Illaoi,low,4536,0.47442680776014107,0.43268416596104997,4.197706653676674
Irelia,low,3546,0.5135363790186125,0.020033869602032177,-0.9097270106146216
Janna,low,3655,0.518467852257182,0.0017104149026248943,-1.251025548390706
Jarvan IV,low,2527,0.49188761377127027,0.0031498729889923795,-0.28543491510777164
Jax,low,8352,0.5068247126436781,0.6153259949195597,4.676701708339188
