champion,picks,wins,win_rate,bans,ban_rate,pick_rate,ban_rate_z,win_rate_z,perceived_minus_actual,quadrant
Jax,28010,13953,0.49814352017136737,131995,0.5928309649138566,0.012580169951314158,4.806119131927235,0.0711333497389926,4.734985782188242,overpowered
Illaoi,13937,6344,0.45519121762215686,73825,0.3315712412194815,0.006259544041823114,2.5069786021149087,-1.7192890725141008,4.2262676746290095,anti-fun
Tahm Kench,20813,10280,0.4939220679383078,110006,0.49407146578517147,0.009347771410092881,3.9370147635235346,-0.10483353175428367,4.041848295277818,anti-fun
Soraka,23265,11909,0.5118848055018268,123202,0.5533388426782603,0.010449041553635269,4.458580148282062,0.6439246532563004,3.8146554950257614,overpowered
Dr. Mundo,22412,12140,0.541674103159022,150702,0.6768499721538545,0.010065932486570972,5.54550407074792,1.8856607955156666,3.6598432752322534,overpowered
Yasuo,31731,15107,0.476095931423529,69653,0.3128334800495841,0.014251387815963926,2.3420823619502698,-0.8478976429655035,3.1899800049157734,anti-fun
Darius,18979,9205,0.48500974761578586,51870,0.23296444675996622,0.008524064459335646,1.6392180669244385,-0.4763344104665118,2.1155524773909504,anti-fun
Gragas,6568,2888,0.4397076735688185,375,0.0016842426746671937,0.002949894903257101,-0.39609638352572085,-2.364704633583948,1.9686082500582271,fair
Mordekaiser,1412,625,0.4426345609065156,2288,0.010276125972369437,0.0006341735084346873,-0.32048600302836855,-2.24270035428326,1.9222143512548917,fair
Kha'Zix,7938,3518,0.4431846812799194,368,0.001652803478073406,0.0035652048937355155,-0.3963730550696212,-2.219769154021017,1.823396098951396,fair
Kindred,18774,9191,0.48956002982848623,44413,0.19947271975998418,0.008431992526453838,1.3444838236579693,-0.2866605904922689,1.631144414150238,anti-fun
Veigar,8554,3946,0.4613046527940145,9043,0.04061495068537448,0.0038418698237608464,-0.05349796316448225,-1.4644568339829025,1.4109588708184202,fair
LeBlanc,21525,9868,0.45844367015098725,5913,0.02655713849415231,0.009667552952589692,-0.17720966779423267,-1.5837139440734316,1.4065042762791988,fair
Kog'Maw,5228,2375,0.4542846212700842,925,0.0041544652641790775,0.0023480588541760234,-0.37435790507640365,-1.7570796062072387,1.382721701130835,fair
Urgot,1335,606,0.45393258426966293,343,0.0015405206330955932,0.000599590392181521,-0.3973611677264084,-1.7717539054091218,1.3743927376827134,fair
Fiora,19480,9692,0.4975359342915811,44960,0.20192946840809875,0.008749079280671182,1.366103728588472,0.045806759124499524,1.3202969694639726,overpowered
Nidalee,14855,6802,0.4578929653315382,2750,0.01235111294755942,0.006671846648581643,-0.30222568113094217,-1.6066695063661565,1.3044438252352144,fair
Poppy,18196,8539,0.4692789624093207,13696,0.06151303379264503,0.008172394588865135,0.13040956451674107,-1.1320559639509626,1.2624655284677038,anti-fun
Ryze,11330,5202,0.459135039717564,2878,0.012926001113845823,0.005088658534394481,-0.297166544328192,-1.5548949169061645,1.2577283725779727,fair
Azir,9782,4478,0.45777959517481087,985,0.004423944092125829,0.004393403158291864,-0.37198643470011455,-1.6113952243969059,1.2394087896967914,fair
Bard,19096,8752,0.45831587767071635,1237,0.005555755169502183,0.00857661283078526,-0.3620262591197001,-1.5890408417830528,1.2270145826633527,fair
Rumble,4467,2049,0.4586971121558093,142,0.0006377665594739774,0.002006269874063561,-0.40530559348697703,-1.5731494755526987,1.1678438820657218,fair
Rengar,28463,14103,0.4954853669676422,38135,0.1712762517291558,0.012783626466413955,1.0963489732855816,-0.03966902441267836,1.1360179976982598,anti-fun
Orianna,11887,5473,0.46041894506603853,137,0.0006153099904784148,0.005338824713005048,-0.40550321601833444,-1.5013766469292322,1.0958734309108977,fair
Riven,25736,12023,0.46716661485856387,7194,0.03231051147081544,0.011558845193395973,-0.1265787752604594,-1.220106992510687,1.0935282172502276,fair
Fiddlesticks,4405,2045,0.4642451759364359,279,0.001253076549952392,0.0019784237285090634,-0.3998907361277835,-1.3418841602289517,0.9419934241011683,fair
Kassadin,12813,5968,0.4657769452899399,1434,0.006440543987927348,0.005754720370802867,-0.3542399313842174,-1.278033934898386,0.9237940035141686,fair
Lee Sin,69697,33067,0.47443935893940914,9906,0.04449095449400859,0.03130310978567451,-0.019388314252189988,-0.9169501580491274,0.8975618437969374,fair
Caitlyn,35060,16415,0.4681973759269823,2566,0.011524711208522716,0.015746546179688483,-0.3094981902848955,-1.1771407807047538,0.8676425904198584,fair
Akali,6073,2842,0.4679729952247654,1184,0.005317715538149219,0.002727574870201031,-0.3641210579520889,-1.1864938588059755,0.8223728008538866,fair
Elise,12569,5947,0.47314822181557803,3191,0.01433178233296804,0.005645132314104522,-0.2847953738652169,-0.9707698771215122,0.6859745032562953,fair
Ekko,20994,9929,0.47294465085262455,2817,0.01265203097209996,0.009429064189856817,-0.2995775392107526,-0.9792555227088234,0.6796779834980708,fair
Syndra,7530,3554,0.47197875166002656,264,0.0011857068429657043,0.0033819592907317246,-0.40048360372185576,-1.0195180341325651,0.6190344304107094,fair
Jayce,6380,3032,0.47523510971786836,261,0.0011722329015683669,0.0028654582038337853,-0.40060217724067027,-0.883780107743991,0.4831779305033207,fair
Cassiopeia,3559,1692,0.47541444225906154,197,0.0008847888184251657,0.0015984585811041445,-0.4031317456420453,-0.8763048157634498,0.47317307012140447,fair
Thresh,59664,28442,0.4767028694019844,1390,0.006242926180766398,0.02679697465102492,-0.35597900966016277,-0.8225980594496137,0.46661904978945096,fair
Yorick,1757,836,0.47581104154809334,333,0.001495607495104468,0.0007891238345040691,-0.39775641278912327,-0.8597729835312051,0.46201657074208186,fair
Kennen,6534,3109,0.47581879400061217,235,0.0010554587427914414,0.0029346244363401184,-0.40162981440372886,-0.8594498305453726,0.45782001614164375,fair
Maokai,4233,2014,0.4757854949208599,146,0.0006557318146704274,0.0019011731311643282,-0.4051474954618911,-0.8608378683335799,0.4556903728716888,fair
Ziggs,4545,2163,0.4759075907590759,136,0.0006108186766793023,0.0020413021216966385,-0.4055427405246059,-0.8557484292713728,0.4502056887467669,fair
Sivir,11737,5606,0.4776348300247082,104,0.0004670966351077017,0.005271455006018361,-0.40680752472529347,-0.7837502423001169,0.37694271757482345,fair
Vladimir,15163,7259,0.47873112180966826,1021,0.0045856313888938795,0.006810179113594309,-0.37056355247434103,-0.7380524501765034,0.3674888977021624,fair
Tryndamere,17322,8917,0.5147788938921602,38183,0.17149183479151323,0.007779853762822701,1.0982461495866132,0.7645617422714646,0.3336844073151486,overpowered
Katarina,9126,4404,0.482577251808021,1541,0.006921114564432388,0.0040987729730700825,-0.3500108092131684,-0.5777304888553026,0.22771967964213424,fair
Vayne,64266,31849,0.4955808670214421,15221,0.06836228733629161,0.028863877261376496,0.19068443658075684,-0.03568820318769786,0.2263726397684547,anti-fun
Lissandra,7650,3687,0.48196078431372547,273,0.001226128667157717,0.0034358550563210752,-0.40012788316541237,-0.6034273004083596,0.2032994172429472,fair
Karthus,3406,1644,0.48267762771579564,165,0.0007410667768535652,0.0015297414799777232,-0.40439652984273283,-0.5735464226873065,0.16914989284457366,fair
Garen,16925,8773,0.5183456425406204,35676,0.16023211109713814,0.007601548604997934,0.9991582123639983,0.9132379802316436,0.08592023213235467,overpowered
Jarvan IV,10735,5210,0.48532836516068933,528,0.0023714136859314086,0.004821425363347286,-0.39004913406618347,-0.4630531667924424,0.07300403272625894,fair
Nunu,4692,2276,0.48508098891730606,165,0.0007410667768535652,0.0021073244345435928,-0.40439652984273283,-0.47336479030502876,0.06896826046229593,fair
Renekton,23755,11618,0.4890759840033677,3708,0.01665379156710921,0.010669115929791783,-0.2643612041228588,-0.30683754137161406,0.04247633724875527,fair
Ezreal,41327,20131,0.4871149611634041,724,0.0032517111905574617,0.018561252537592297,-0.3823023308369723,-0.3885807554681972,0.00627842463122491,fair
Olaf,8945,4360,0.4874231414197876,1023,0.004594614016492104,0.004017480193306146,-0.37048450346179806,-0.37573457939899607,0.005250075937198007,fair
Teemo,11961,5843,0.48850430566006187,1569,0.007046871350807538,0.005372060435118481,-0.34890412303756685,-0.33066736337006486,-0.01823675966750199,fair
Viktor,11301,5511,0.4876559596495885,576,0.0025869967482888096,0.005075633724377054,-0.3881519577651522,-0.36602979166457206,-0.022122166100580154,fair
Zed,35060,17505,0.4992869366799772,11799,0.05299301151572858,0.015746546179688483,0.05543157611973251,0.11879548735417417,-0.06336391123444166,overpowered
Alistar,23484,11500,0.4896951115653211,1158,0.005200941379372294,0.010547401325835834,-0.3651486951151475,-0.28102984764236183,-0.0841188474727857,fair
Gnar,13939,6833,0.4902073319463376,1087,0.004882058099635305,0.006260442304582937,-0.3679549350604229,-0.2596784694652255,-0.10827646559519744,fair
Ashe,13932,6825,0.48987941429801896,185,0.0008308930528358156,0.006257298384923558,-0.40360603971730313,-0.2733473783561872,-0.1302586613611159,fair
Varus,7436,3645,0.49018289402904786,89,0.00039972692812101395,0.0033397409410200673,-0.40740039231936576,-0.26069713883734064,-0.14670325348202512,fair
Tristana,45630,22438,0.49173789173789173,1505,0.006759427267664337,0.020493864865350413,-0.351433691438942,-0.1958786634767587,-0.1555550279621833,fair
Vi,16089,7925,0.4925725651065946,2141,0.009615902843899897,0.007226074771392128,-0.326296105450277,-0.1610861651497841,-0.16520994030049288,fair
Cho'Gath,12587,6217,0.49392230078652577,3253,0.014610243788513015,0.005653216678942924,-0.28234485447638485,-0.10482382571652274,-0.17752102875986212,fair
Fizz,28455,14448,0.5077490774907749,16671,0.07487469234500477,0.012780033415374665,0.24799497067441126,0.4715310975244764,-0.22353612685006516,overpowered
Diana,15867,7876,0.49637612655196317,4361,0.019586619477929685,0.00712636760505183,-0.23855170152757857,-0.002538630046093306,-0.23601307148148526,fair
Brand,37974,20488,0.5395270448201401,49810,0.22371234033379445,0.01705531502074987,1.557797584005178,1.796162883560532,-0.23836529955535402,overpowered
Rek'Sai,9833,4852,0.4934404556086647,791,0.0035526292150980005,0.004416308858667338,-0.37965418891678276,-0.12490904488512566,-0.2547451440316571,fair
Lucian,70555,34962,0.49552831124654523,2811,0.012625083089305284,0.03168846450963836,-0.29981468624838153,-0.03787893644784033,-0.2619357498005412,fair
Irelia,18015,9077,0.5038578961976131,11525,0.05176239153477175,0.008091101809101199,0.04460186140134545,0.3093312194539882,-0.26472935805264275,overpowered
Zac,9974,4926,0.4938840986565069,953,0.0042802220505542285,0.004479636383234824,-0.3732512189008021,-0.1064162420971173,-0.2668349768036848,fair
Lulu,19281,9538,0.4946838856905762,1763,0.007918186227835366,0.008659702136068844,-0.3412363688208986,-0.07307794464066832,-0.2681584241802303,fair
Karma,8874,4378,0.49335136353391934,149,0.0006692057560677649,0.003985591865332447,-0.40502892194307666,-0.12862275611367602,-0.27640616582940064,fair
Annie,22503,11271,0.5008665511265165,7198,0.03232847672601189,0.010106803442142896,-0.12642067723537348,0.18464008603100995,-0.31106076326638343,sleeper
Xin Zhao,20571,10312,0.5012882212823878,6872,0.03086430842750121,0.009239081616154358,-0.13930566627987784,0.20221697148440482,-0.34152263776428265,sleeper
