champion,learning_slope,ci95_low,ci95_high,player_champion_cells,games
Poppy,0.024218836774160795,-0.02998071749141006,0.07531274552777893,292,2680
Zed,0.020029337173260983,-0.014803201400963624,0.05678103153982468,723,7318
Ziggs,0.019672481399441766,-0.12038404506331023,0.13957144542049074,40,339
Nidalee,0.014419483086382794,-0.041297497144107735,0.06839171353090676,320,3464
Karthus,0.012866796202085713,-0.0745937457499925,0.08538993373016102,52,461
Jayce,0.0032096284726404896,-0.06833557770377906,0.07076054528074739,118,1326
Bard,-0.003211803207039015,-0.04608122050372067,0.04181752049937078,434,4046
Gangplank,-0.006044160975015039,-0.051895734731190656,0.037997568062157455,364,3669
Illaoi,-0.007110630910770763,-0.07317655799345665,0.06257455535762146,206,1823
Ryze,-0.007845727977818186,-0.07782894973945058,0.06668930677955483,211,2203
Kha'Zix,-0.022603855657905503,-0.1080055925517406,0.048487390271186356,108,1012
Singed,-0.02924952734977019,-0.10596694144123478,0.037130962533828867,130,1361
Kennen,-0.029485338400763655,-0.1110036291558636,0.04153584773643654,111,1072
Orianna,-0.03354940371841032,-0.10377549403059176,0.037401381798861474,164,1579
Riven,-0.03418281667814757,-0.07375468818299946,0.006010230525693249,591,5861
Akali,-0.035012014953967815,-0.10809648297397494,0.04733003572152381,109,1173
Elise,-0.0363805249776628,-0.09889060473943209,0.02261618379750884,190,1968
Kog'Maw,-0.03656247488566745,-0.16307210505926847,0.0702844934941643,61,511
Teemo,-0.04404487853642354,-0.09805527726789781,0.004737093525164408,207,2477
Fiora,-0.04488842808006601,-0.08553502100061798,0.00186656405766402,425,4305
Cassiopeia,-0.04518013389480665,-0.14638678656541507,0.029699291816944903,46,462
Varus,-0.048385722696058245,-0.16496624031428722,0.07039652670785802,74,752
Garen,-0.05255430301060006,-0.11128869973116394,0.0007761164211164617,188,1902
Master Yi,-0.05732959525663661,-0.09453886918329686,-0.01640056992578543,507,5180
Nunu,-0.0573937659746205,-0.16161462152127193,0.02353278267233505,49,580
Evelynn,-0.05770400588757978,-0.11283667797659352,-0.0066342722258621815,193,2205
Vi,-0.057829571281057514,-0.12046436788533497,-0.00036257713339994907,194,1697
Tahm Kench,-0.05809653057782256,-0.13164417304506654,0.003381292082448685,296,2351
Nasus,-0.05817877504887818,-0.10989200309672564,-0.0102961609073173,304,2945
Lee Sin,-0.058385567629654876,-0.083743115940441,-0.032068214288422735,1581,15898
Janna,-0.059071661199876946,-0.08857839637354767,-0.030219493052193312,770,7873
Caitlyn,-0.061704912680906936,-0.10462683051386273,-0.02075484656237017,425,3928
Lulu,-0.06339021873996782,-0.10324478188859085,-0.026787089422320717,394,3468
Talon,-0.06436180026907928,-0.11974464957213948,-0.00832306475834101,228,2591
Warwick,-0.0665052463771365,-0.1440078105564036,0.0011428941397922975,119,1067
Quinn,-0.06691192132730775,-0.11234450929860026,-0.018113217632831316,349,3106
Shyvana,-0.06719516792925583,-0.14197434423797586,-0.006263806830461323,133,1367
Volibear,-0.06752648620314303,-0.12491923229227607,-0.010576290103615821,252,2191
Diana,-0.06761752426356502,-0.1184012543842046,-0.01763180954272878,251,2419
Vladimir,-0.06869292913491563,-0.1455393562432453,-0.001571092582008112,239,1998
Olaf,-0.0688525338484856,-0.15339358945871576,0.012634314600519106,123,1189
Anivia,-0.06945240358933041,-0.11503629054753234,-0.021833433824113332,293,3065
Lucian,-0.0701487423143542,-0.0901193874291046,-0.04714314657424831,1699,16278
Gnar,-0.07017266537001651,-0.14206070582357855,0.004437128697159868,208,1711
Zac,-0.07128406891126547,-0.14324681424586952,-0.007073589930564262,193,1797
Tryndamere,-0.07230759446089248,-0.12797885965535608,-0.026699419214388172,279,3084
Malphite,-0.0728871457890754,-0.10569299680319913,-0.04039146049884816,547,4704
Zilean,-0.07299004917032428,-0.1289996206625356,-0.009744471082492127,176,1859
Wukong,-0.07564420538419789,-0.11461118793402882,-0.03232793443313217,374,4184
Thresh,-0.07579666973618372,-0.1031963064844488,-0.05013317543489744,1143,10854
Sejuani,-0.0764786520445407,-0.19420983704852873,0.049119246041620025,56,410
Rengar,-0.0772067580877971,-0.10991067495968564,-0.04278553472442863,592,6426
Alistar,-0.0775326668739108,-0.1251380867661401,-0.029941039219119413,334,3125
Vayne,-0.07761849990268688,-0.0989240819690513,-0.052188756620516016,1382,13392
Gragas,-0.07802290720393984,-0.18792694344631275,0.024139485236146518,62,508
Leona,-0.07882305870846032,-0.1211125349821679,-0.03877256465790849,311,3217
Blitzcrank,-0.07957323287128193,-0.11507912492892246,-0.04883187229081067,797,7673
Fizz,-0.07964444279373344,-0.11728611403940387,-0.0425736392199236,519,5124
Viktor,-0.07986518062000014,-0.13403099154111422,-0.022297549789890164,183,1867
Zyra,-0.08056381189728992,-0.16024496183887235,-0.0017575841541080182,154,1752
Miss Fortune,-0.08150681786850017,-0.1058997912011825,-0.05493731794421008,1041,10192
Rumble,-0.08192144305293224,-0.16596951333150672,-0.009149919451161137,67,718
Fiddlesticks,-0.08237792187032997,-0.20622881089542022,0.03374284538014,98,792
Nautilus,-0.08322550911352589,-0.13272976062342864,-0.0352515222476108,322,3152
Jinx,-0.08392854848543045,-0.13071490343572031,-0.040538345011087495,417,3885
Kindred,-0.08424067971742913,-0.13281175258201536,-0.036044590506218235,372,3568
Ekko,-0.08467150544045571,-0.12384042058582115,-0.04319583191335616,404,4197
Vel'Koz,-0.0850020204875906,-0.1394768851369565,-0.03293737600425592,227,2304
Ezreal,-0.08614735375894905,-0.12278524010756951,-0.054017835108354895,795,7416
Shaco,-0.0879375534896118,-0.1332150428420092,-0.03779015240568157,361,3598
Ahri,-0.08868215227009198,-0.12036605832044127,-0.054631846004953154,514,4848
Yasuo,-0.08928185691280174,-0.12545338783374374,-0.05372036859549587,520,5408
Nami,-0.08961839193496067,-0.13735651985119965,-0.04234083798784053,390,3679
Graves,-0.08986035455243689,-0.14165880051367344,-0.037295015023731885,318,3199
Lux,-0.0909314378396428,-0.12423702584555849,-0.05703689435604693,577,5351
Jax,-0.09206033861813931,-0.1456871061205798,-0.03829820324798042,325,3024
Brand,-0.09265712175951497,-0.12384808409605355,-0.06311682447043768,746,6647
Shen,-0.0931070303922178,-0.13262605853355897,-0.05590652557204393,348,3374
Kalista,-0.09378779977708519,-0.1463911561779317,-0.04599727303489273,331,3061
Heimerdinger,-0.0955632760908493,-0.1586763255304607,-0.03892951343284162,132,1468
Draven,-0.09656345183478786,-0.158410847436217,-0.0391752695666099,276,3199
Karma,-0.09785719384182838,-0.1518490690287275,-0.03840186886924737,159,1708
Malzahar,-0.09813583671273571,-0.1528713089181021,-0.0424344885871526,212,1985
Udyr,-0.09877298773406416,-0.1481193081842076,-0.049374267707224556,290,3242
Sona,-0.1021971986213037,-0.15265684151070452,-0.052490492156424484,376,3681
Pantheon,-0.1022470343398598,-0.14962156945349359,-0.04489699446307371,235,2588
Katarina,-0.10273401684098012,-0.17395700426329053,-0.027075353904560527,124,1392
