champion,bucket,picks,win_rate,ban_rate,perceived_minus_actual
Aatrox,low,1808,0.49668141592920356,0.004835544391239501,-0.4344443043915937
Ahri,low,6898,0.514786894752102,0.01073867650522019,-1.0461913532577363
Akali,low,2485,0.47525150905432595,0.006955020017269801,0.3716651453547762
Alistar,low,5698,0.49017199017199015,0.004144752335348143,-0.2016079041133581
Amumu,low,5365,0.5496738117427773,0.010927074338645105,-2.3257204725373684
Anivia,low,2879,0.5234456408475165,0.006860821100557343,-1.399118872264234
Annie,low,7623,0.5064935064935064,0.05149540780281027,-0.37445502887800675
Ashe,low,6050,0.47983471074380163,0.001193186278357799,0.15144051044245543
Azir,low,2848,0.46594101123595505,0.005542036266582934,0.7008653338428559
Bard,low,3469,0.44018449120784087,0.004961142946856111,1.6415436712455298
Blitzcrank,low,14301,0.5196140130060835,0.09212654054478374,-0.49027808974060566
Brand,low,9837,0.562061604147606,0.19372007221916948,-1.1339567757405646
Braum,low,6442,0.49130704750077614,0.004427349085485517,-0.24074722630309384
Caitlyn,low,10242,0.4656317125561414,0.013517544548237696,0.7840724380085236
Cassiopeia,low,1117,0.4789615040286482,0.0012402857367140277,0.18393343410580398
Cho'Gath,low,5297,0.5017934680007552,0.035983986184158885,-0.34158155134044443
Corki,low,2588,0.5112055641421948,0.003234162807127718,-0.9822716217979499
Darius,low,5409,0.46736919948234423,0.4460475704529398,4.616748029617851
Diana,low,5022,0.5033851055356432,0.026940890179762932,-0.48150016616649327
Dr. Mundo,low,6695,0.5415982076176251,0.626532694874009,3.5165947895016165
Draven,low,3626,0.5091009376723662,0.004866944030143653,-0.8902699016773411
Ekko,low,6357,0.4925279219757747,0.01741109977235262,-0.168618724586733
Elise,low,2522,0.45519429024583663,0.00810110683727137,1.1185935978184463
Evelynn,low,1834,0.49727371864776443,0.0043959494465813645,-0.46015682454684775
Ezreal,low,9024,0.47462322695035464,0.002653269487400895,0.3559861825987258
Fiddlesticks,low,1422,0.4669479606188467,0.0013658842923306381,0.6262637592885245
Fiora,low,4581,0.5042567125081859,0.21714420284166733,1.1999533336502126
Fizz,low,8071,0.5037789617147813,0.0983750686867101,0.14755653545698783
Galio,low,858,0.5209790209790209,0.0017897794175366984,-1.3542148819161912
Gangplank,low,2854,0.5073580939032937,0.025606405526336445,-0.6394304757638052
Garen,low,7237,0.5203813734973055,0.38908862548080697,2.1567497219800025
Gnar,low,4408,0.5034029038112523,0.008854698170971034,-0.6450848711755819
Gragas,low,1638,0.43345543345543347,0.0024334720150718265,1.8658983976657895
