champion,amp_slope_win,n_players_win,mean_on_champ_win,amp_slope_lane_diff,n_players_lane_diff,mean_on_champ_lane_diff
Lissandra,0.1422,279,0.5184,0.8675,279,3.9303
Viktor,-0.0333,430,0.5213,0.7796,430,5.4484
Rek'Sai,-0.0732,458,0.5397,0.7727,458,28.3598
Nunu,0.0357,119,0.5922,0.7274,119,3.12
Nidalee,0.1263,608,0.5282,0.6693,608,31.9682
Jax,0.018,864,0.5336,0.6403,864,11.3172
Elise,-0.093,490,0.5241,0.6323,490,-6.8763
Hecarim,0.0062,411,0.5534,0.6298,411,12.8633
Azir,0.0504,312,0.5065,0.6161,312,-2.4856
Cho'Gath,-0.0976,272,0.5321,0.6124,272,16.551
Xerath,0.014,161,0.5402,0.6048,161,10.7159
Kassadin,0.0633,490,0.5227,0.5998,490,-4.4893
Vi,-0.0493,453,0.5261,0.5871,453,8.9918
Rumble,0.1708,129,0.5043,0.5807,129,1.8299
LeBlanc,0.0469,752,0.4924,0.5801,752,7.4889
Olaf,-0.1337,219,0.5479,0.5682,219,15.1658
Dr. Mundo,0.036,776,0.578,0.5386,776,23.8879
Nocturne,0.0279,269,0.5367,0.5365,269,19.1393
Maokai,-0.3781,80,0.5085,0.53,80,-20.276
Shyvana,-0.0397,234,0.5663,0.5199,234,51.9007
Jarvan IV,-0.0481,291,0.5336,0.514,291,-8.0169
Vladimir,-0.0088,455,0.5053,0.5009,455,6.3919
Zed,-0.0345,1291,0.5364,0.4949,1291,26.8431
Yasuo,-0.0192,1009,0.5152,0.4804,1009,11.1488
Taric,-0.0703,181,0.5363,0.4795,181,-0.1888
Tryndamere,-0.0201,435,0.5474,0.47,435,36.785
Rengar,-0.0597,974,0.5478,0.4671,974,18.2646
Diana,-0.0238,463,0.5206,0.4646,463,15.2147
Orianna,0.2218,393,0.5062,0.4632,393,4.7157
Gnar,0.0708,419,0.5372,0.4623,419,6.2676
Ahri,-0.0794,1018,0.5543,0.4615,1018,6.0006
Garen,0.0794,352,0.5513,0.4591,352,11.583
Gangplank,0.0351,643,0.5451,0.4579,643,9.6695
Veigar,-0.0139,152,0.5213,0.4516,152,-6.3209
Talon,0.0524,366,0.577,0.451,366,11.6626
Malphite,-0.0181,1254,0.5544,0.4496,1254,-0.064
Fiora,0.0984,777,0.5388,0.4458,777,10.835
Sivir,0.0704,281,0.5439,0.4451,281,4.9309
Fizz,-0.0285,980,0.5482,0.4445,980,12.537
Trundle,-0.0709,751,0.5593,0.4408,751,3.973
Lee Sin,-0.0248,3043,0.5017,0.4297,3043,-6.2073
Lulu,0.0731,801,0.542,0.4223,801,1.1452
