champion,amp_z,n_players,position,difficulty
Rek'Sai,0.7979,448,jungle,3
Lissandra,0.7933,272,mid,6
Viktor,0.6899,421,mid,9
Nunu,0.6631,114,jungle,4
Sivir,0.6407,257,adc,4
Hecarim,0.6177,403,jungle,6
Nidalee,0.6099,598,jungle,8
Jax,0.6082,838,top,5
Elise,0.6028,479,jungle,9
Xerath,0.5702,156,mid,8
Cho'Gath,0.5686,264,top,5
Kassadin,0.5547,475,mid,8
Azir,0.5525,306,mid,9
Nocturne,0.5486,257,jungle,4
Vi,0.5461,445,jungle,4
Dr. Mundo,0.5251,758,top,5
Maokai,0.5241,77,top,3
LeBlanc,0.5235,726,mid,9
Jarvan IV,0.5126,284,jungle,5
Diana,0.4658,443,mid,4
Shyvana,0.4623,228,jungle,4
Zed,0.4619,1241,mid,7
Talon,0.4562,345,mid,7
Ahri,0.4447,968,mid,5
Orianna,0.4355,380,mid,7
Rumble,0.4335,126,top,10
Lee Sin,0.432,2946,jungle,6
Kindred,0.4288,713,jungle,4
Taric,0.4285,156,support,3
Rengar,0.425,949,jungle,8
Veigar,0.4242,145,mid,7
Yasuo,0.4238,981,mid,10
Kog'Maw,0.4176,128,adc,6
Quinn,0.4147,637,adc,5
Tryndamere,0.4133,419,top,5
Vladimir,0.4017,445,top,7
Lulu,0.4002,775,support,5
Trundle,0.3999,714,top,5
Fizz,0.394,932,mid,6
Malphite,0.3874,1216,top,2
Olaf,0.376,214,top,3
Corki,0.3736,391,adc,6
Shen,0.3731,706,top,4
Amumu,0.371,342,jungle,3
Fiora,0.3645,767,top,3
Garen,0.3614,345,top,5
Gnar,0.3531,415,top,8
Kalista,0.3525,678,adc,7
Caitlyn,0.3482,1013,adc,6
Gangplank,0.3473,631,top,9
Twitch,0.3433,330,adc,6
Sejuani,0.3352,116,jungle,4
Sion,0.3318,132,top,5
Renekton,0.3308,761,top,3
Lux,0.3278,931,mid,5
Twisted Fate,0.3244,935,mid,9
Annie,0.3217,512,mid,6
Riven,0.3213,872,top,8
Rammus,0.3153,487,jungle,5
Tristana,0.3144,1459,adc,4
Syndra,0.306,263,mid,8
Zac,0.3051,376,jungle,8
Darius,0.3038,606,top,2
Vel'Koz,0.3018,314,mid,8
Zilean,0.301,250,support,6
Poppy,0.2998,591,top,6
Tahm Kench,0.2943,662,support,5
Malzahar,0.2914,316,mid,6
Heimerdinger,0.2859,124,mid,8
Lucian,0.284,2998,adc,6
Ekko,0.2749,701,mid,8
Illaoi,0.2741,446,top,4
Udyr,0.2738,394,jungle,7
Morgana,0.2735,1044,support,1
Braum,0.2729,615,support,3
Kha'Zix,0.26,219,jungle,6
Swain,0.2498,148,mid,8
Evelynn,0.2462,258,jungle,10
Volibear,0.2387,395,jungle,3
Vayne,0.2374,2253,adc,8
Singed,0.2336,130,top,5
Brand,0.2318,1394,mid,4
Anivia,0.2267,382,mid,10
Teemo,0.2249,266,top,6
Kennen,0.2154,172,top,4
Ashe,0.2113,291,adc,4
Blitzcrank,0.2039,1489,support,4
Miss Fortune,0.2002,1880,adc,1
Alistar,0.1985,719,support,7
Master Yi,0.194,760,jungle,4
Nami,0.1913,579,support,5
Thresh,0.1909,1931,support,7
Nautilus,0.1852,512,support,6
Ezreal,0.185,1552,adc,7
Ziggs,0.1746,107,mid,4
Janna,0.173,1193,support,7
Sona,0.1712,501,support,4
Varus,0.1686,156,adc,2
Irelia,0.1685,682,top,5
Pantheon,0.1672,416,top,4
Akali,0.167,148,mid,7
Fiddlesticks,0.1574,112,jungle,9
Graves,0.1554,693,adc,3
Cassiopeia,0.1496,99,mid,10
Bard,0.1415,804,support,9
Nasus,0.1364,492,top,6
Jinx,0.1301,841,adc,6
Zyra,0.123,187,support,7
Ryze,0.1121,342,top,7
Skarner,0.1033,68,jungle,5
Warwick,0.0933,205,jungle,3
Wukong,0.0916,454,top,3
Soraka,0.0741,642,support,3
Katarina,0.0688,207,mid,8
Shaco,0.0594,399,jungle,9
Leona,0.0556,511,support,4
Kayle,0.049,267,mid,7
Xin Zhao,0.0384,495,jungle,2
Draven,0.0304,397,adc,8
Karthus,0.0304,90,mid,7
Jayce,0.0149,197,top,7
Karma,0.0105,242,support,5
Gragas,0.0067,186,jungle,5
Aatrox,-0.0225,119,top,4
