champion,skill_reward_slope,wr_low,wr_high,high_minus_low,total_picks
Nidalee,0.01948,0.4215,0.4864,0.0649,13195
Nunu,0.0162,0.4811,0.5363,0.0552,4109
Kindred,0.01601,0.4537,0.5108,0.057,17133
Lulu,0.0144,0.4698,0.5174,0.0476,18052
Talon,0.01233,0.4991,0.5385,0.0394,10746
Rek'Sai,0.01201,0.4729,0.5145,0.0416,8939
Ryze,0.01141,0.4437,0.4825,0.0388,9770
Rengar,0.01061,0.4855,0.5209,0.0355,25698
Varus,0.01041,0.4886,0.5207,0.0321,6746
Maokai,0.01039,0.455,0.4858,0.0308,3924
Olaf,0.00967,0.4706,0.4929,0.0223,8130
Pantheon,0.0095,0.4932,0.5208,0.0276,12764
Zilean,0.00825,0.4858,0.5117,0.0259,6936
Darius,0.00809,0.4721,0.4918,0.0197,17370
Twisted Fate,0.00769,0.5091,0.5326,0.0235,20601
Twitch,0.00666,0.4961,0.52,0.0239,8975
Janna,0.00665,0.527,0.5514,0.0244,26775
Karma,0.00551,0.4828,0.4901,0.0073,8280
Gragas,0.00447,0.4359,0.4431,0.0072,6021
Kha'Zix,0.00441,0.4374,0.4481,0.0106,7251
Lee Sin,0.00433,0.4684,0.4808,0.0124,63142
Shaco,0.00429,0.4965,0.5085,0.012,12664
Hecarim,0.00403,0.5035,0.5092,0.0057,11758
Xin Zhao,0.00395,0.4902,0.5003,0.01,18342
Karthus,0.00388,0.4642,0.4872,0.0231,3034
Malphite,0.00356,0.5213,0.5306,0.0093,30226
Elise,0.00353,0.4663,0.4745,0.0082,11576
Vayne,0.00338,0.487,0.498,0.0111,57835
Lissandra,0.00299,0.4891,0.4886,-0.0004,7197
Fiddlesticks,0.00291,0.4713,0.4726,0.0013,3862
Soraka,0.00288,0.5046,0.5191,0.0145,20939
Alistar,0.00251,0.49,0.5001,0.0101,21248
Sivir,0.00249,0.4654,0.4686,0.0032,10429
Poppy,0.00243,0.4666,0.4738,0.0072,16675
Syndra,0.00237,0.4662,0.4695,0.0033,6988
Rammus,0.00226,0.5254,0.5328,0.0073,13352
Kennen,0.0022,0.4775,0.4972,0.0197,6075
Zed,0.00212,0.4853,0.4983,0.013,31467
Udyr,0.00211,0.5234,0.5193,-0.004,13868
Bard,0.00169,0.4446,0.4588,0.0142,18078
Galio,0.00158,0.5089,0.4831,-0.0258,2296
Heimerdinger,0.00147,0.5108,0.4971,-0.0138,6048
Ashe,0.0014,0.4885,0.4867,-0.0018,12010
Tristana,0.00122,0.488,0.4969,0.0089,40934
Ahri,0.00122,0.5214,0.5239,0.0024,24459
Corki,0.00112,0.5152,0.5056,-0.0096,11025
Draven,0.00102,0.5039,0.5126,0.0088,12068
Ezreal,0.00059,0.4753,0.4829,0.0075,37884
Blitzcrank,0.0004,0.5289,0.5239,-0.005,42617
Thresh,0.00039,0.4766,0.4824,0.0058,55538
Lux,0.00024,0.5237,0.5157,-0.008,31167
Teemo,0.00016,0.494,0.502,0.008,10500
Swain,7e-05,0.5153,0.497,-0.0183,5431
Wukong,-7e-05,0.5198,0.5259,0.0061,15406
Fizz,-0.0001,0.5091,0.5083,-0.0009,25804
Riven,-0.00013,0.4667,0.4593,-0.0074,22588
Vel'Koz,-0.00032,0.5312,0.5298,-0.0015,9288
Quinn,-0.00088,0.5135,0.5042,-0.0093,15715
Shen,-0.00091,0.5154,0.5099,-0.0056,19079
Taric,-0.00093,0.5334,0.5395,0.0062,6927
Trundle,-0.0011,0.5379,0.5362,-0.0017,18317
Kayle,-0.00113,0.5219,0.5284,0.0065,8557
Skarner,-0.00114,0.5285,0.4969,-0.0316,2707
Kassadin,-0.00115,0.4806,0.4757,-0.005,11698
Anivia,-0.00124,0.5148,0.5186,0.0038,11503
Singed,-0.00125,0.5193,0.5175,-0.0018,4752
Braum,-0.00132,0.4971,0.4854,-0.0116,20477
Leona,-0.00133,0.5155,0.5097,-0.0058,23890
Veigar,-0.00137,0.4616,0.4591,-0.0024,7576
Zac,-0.00153,0.4961,0.4923,-0.0038,9373
Malzahar,-0.00154,0.536,0.535,-0.001,12028
Gnar,-0.00187,0.4948,0.4791,-0.0158,13067
Tryndamere,-0.00212,0.5219,0.5182,-0.0037,15365
Sejuani,-0.00212,0.5093,0.4935,-0.0158,4661
Vi,-0.00216,0.492,0.4809,-0.0111,14815
LeBlanc,-0.00237,0.4607,0.4506,-0.0101,19500
Gangplank,-0.00243,0.5182,0.5093,-0.0088,13526
Cho'Gath,-0.00268,0.4951,0.4857,-0.0095,11243
Orianna,-0.00282,0.4664,0.4631,-0.0033,11024
Jayce,-0.00324,0.4862,0.4763,-0.0099,5815
Caitlyn,-0.00334,0.469,0.4595,-0.0095,32592
Cassiopeia,-0.00352,0.4778,0.4617,-0.0162,3260
Kalista,-0.00357,0.4883,0.4825,-0.0058,14858
Morgana,-0.00388,0.5146,0.4975,-0.0171,31760
Nami,-0.00388,0.5278,0.515,-0.0128,14664
Kog'Maw,-0.00407,0.4554,0.4592,0.0038,4723
Miss Fortune,-0.00408,0.5521,0.5328,-0.0193,49930
Dr. Mundo,-0.00422,0.5433,0.5265,-0.0168,20527
Xerath,-0.00429,0.4907,0.4664,-0.0243,4841
Sion,-0.00434,0.5321,0.5401,0.0079,4852
Diana,-0.00436,0.5027,0.4959,-0.0068,14617
Lucian,-0.00459,0.5014,0.4867,-0.0148,65354
Viktor,-0.00473,0.4818,0.4647,-0.0171,10361
Nautilus,-0.00474,0.5284,0.5139,-0.0146,17960
Katarina,-0.00489,0.4903,0.4766,-0.0137,8131
Jinx,-0.00493,0.5025,0.4862,-0.0163,30527
Irelia,-0.00504,0.5085,0.4991,-0.0094,16705
Garen,-0.0051,0.5282,0.5078,-0.0204,14668
Master Yi,-0.00528,0.5156,0.4892,-0.0264,23846
