champion,difficulty
Aatrox,4
Ahri,5
Akali,7
Alistar,7
Amumu,3
Anivia,10
Annie,6
Ashe,4
Azir,9
Bard,9
Blitzcrank,4
Brand,4
Braum,3
Caitlyn,6
Cassiopeia,10
Cho'Gath,5
Corki,6
Darius,2
Diana,4
Dr. Mundo,5
Draven,8
Ekko,8
Elise,9
Evelynn,10
Ezreal,7
Fiddlesticks,9
Fiora,3
Fizz,6
Galio,5
Gangplank,9
Garen,5
Gnar,8
Gragas,5
Graves,3
Hecarim,6
Heimerdinger,8
Illaoi,4
Irelia,5
Janna,7
Jarvan IV,5
Jax,5
Jayce,7
Jinx,6
Kalista,7
Karma,5
Karthus,7
Kassadin,8
Katarina,8
Kayle,7
Kennen,4
Kha'Zix,6
Kindred,4
Kog'Maw,6
LeBlanc,9
Lee Sin,6
Leona,4
Lissandra,6
Lucian,6
Lulu,5
Lux,5
Malphite,2
Malzahar,6
Maokai,3
Master Yi,4
Miss Fortune,1
Mordekaiser,4
Morgana,1
Nami,5
Nasus,6
Nautilus,6
Nidalee,8
Nocturne,4
Nunu,4
Olaf,3
Orianna,7
Pantheon,4
Poppy,6
Quinn,5
Rammus,5
Rek'Sai,3
Renekton,3
Rengar,8
Riven,8
Rumble,10
Ryze,7
Sejuani,4
Shaco,9
Shen,4
Shyvana,4
Singed,5
Sion,5
Sivir,4
Skarner,5
Sona,4
Soraka,3
Swain,8
Syndra,8
Tahm Kench,5
Talon,7
Taric,3
Teemo,6
Thresh,7
Tristana,4
Trundle,5
Tryndamere,5
Twisted Fate,9
Twitch,6
Udyr,7
Urgot,8
Varus,2
Vayne,8
Veigar,7
Vel'Koz,8
Vi,4
Viktor,9
Vladimir,7
Volibear,3
Warwick,3
Wukong,3
Xerath,8
Xin Zhao,2
Yasuo,10
Yorick,6
Zac,8
Zed,7
Ziggs,4
Zilean,6
Zyra,7
