killer_champion	victim_champion
Ahri	Karma
Karma	Lee Sin
Tristana	Blitzcrank
Miss Fortune	Tristana
Ryze	Shen
Lee Sin	Nidalee
Tristana	Miss Fortune
Karma	Lee Sin
Miss Fortune	Tristana
Miss Fortune	Tristana
Tristana	Miss Fortune
Ryze	Nami
Ahri	Karma
Nidalee	Ryze
Lee Sin	Nidalee
Nidalee	Blitzcrank
Miss Fortune	Nidalee
Lee Sin	Karma
Miss Fortune	Nami
Miss Fortune	Tristana
Ryze	Shen
Ahri	Nidalee
Karma	Ahri
Karma	Blitzcrank
Ryze	Karma
Nami	Ryze
Nidalee	Ahri
Miss Fortune	Karma
Ryze	Nidalee
Shen	Ryze
Lee Sin	Shen
Miss Fortune	Nami
Lee Sin	Karma
Miss Fortune	Nidalee
Miss Fortune	Nami
Tristana	Lee Sin
Ryze	Tristana
Morgana	Malzahar
Rek'Sai	Morgana
Elise	Rek'Sai
Ezreal	Caitlyn
Elise	Malzahar
Ekko	Vladimir
Elise	Vladimir
Ekko	Malzahar
Elise	Zyra
Ekko	Vladimir
Vladimir	Ekko
Morgana	Rek'Sai
Malzahar	Morgana
Ekko	Caitlyn
Malzahar	Ezreal
Ekko	Malzahar
Malzahar	Thresh
Ekko	Zyra
Malzahar	Ekko
Rek'Sai	Morgana
Vladimir	Ekko
Ekko	Vladimir
Ezreal	Zyra
Ezreal	Caitlyn
Malzahar	Elise
Ezreal	Malzahar
Ekko	Vladimir
Ezreal	Zyra
Caitlyn	Ekko
Elise	Malzahar
Morgana	Vladimir
Morgana	Rek'Sai
Caitlyn	Elise
Ekko	Zyra
Elise	Caitlyn
Ekko	Vladimir
Ezreal	Malzahar
Ezreal	Zyra
Ekko	Caitlyn
Ekko	Rek'Sai
Ezreal	Zyra
Ekko	Vladimir
Ezreal	Rek'Sai
Ezreal	Caitlyn
Ekko	Malzahar
Vladimir	Morgana
Ekko	Vladimir
Zyra	Ezreal
Nautilus	Poppy
Nautilus	Lucian
Darius	Irelia
Nautilus	Poppy
Irelia	Darius
Lee Sin	Poppy
Lucian	Lee Sin
Darius	Irelia
Irelia	Darius
Lucian	Ekko
Darius	Irelia
Rek'Sai	Darius
Lee Sin	Rek'Sai
Lee Sin	Irelia
Poppy	Ekko
Ahri	Lee Sin
Ahri	Nautilus
Ekko	Ahri
Rek'Sai	Ekko
Rek'Sai	Lee Sin
Darius	Poppy
Lee Sin	Lucian
Irelia	Darius
Ekko	Ahri
Ezreal	Lucian
Ezreal	Poppy
Ekko	Lucian
Nautilus	Rek'Sai
Ekko	Lucian
Ekko	Ahri
Ekko	Poppy
Ekko	Rek'Sai
Ezreal	Lucian
Lee Sin	Poppy
Lee Sin	Rek'Sai
Rammus	Lee Sin
Dr. Mundo	Quinn
Rammus	Dr. Mundo
Dr. Mundo	Rammus
Lee Sin	Kalista
Riven	Kassadin
Rammus	Lee Sin
Kalista	Vayne
Kalista	Alistar
Rammus	Vayne
Rammus	Alistar
Rammus	Lee Sin
Kassadin	Riven
Lee Sin	Kalista
Rammus	Riven
Kassadin	Alistar
Lee Sin	Quinn
Quinn	Riven
Dr. Mundo	Rammus
Quinn	Lee Sin
Quinn	Dr. Mundo
Kassadin	Riven
Nami	Dr. Mundo
Nami	Riven
Vayne	Kalista
Dr. Mundo	Quinn
Rammus	Lee Sin
Kassadin	Riven
Kassadin	Dr. Mundo
Vayne	Rammus
Kassadin	Vayne
Kassadin	Alistar
Lee Sin	Kalista
Kassadin	Riven
Kassadin	Lee Sin
Lee Sin	Kalista
Kassadin	Dr. Mundo
Vayne	Rammus
Nami	Riven
Kassadin	Vayne
Dr. Mundo	Quinn
Rammus	Dr. Mundo
Kassadin	Riven
Kalista	Alistar
Kalista	Vayne
Rammus	Dr. Mundo
Lee Sin	Kalista
Nami	Lee Sin
Bard	Lulu
Lucian	Zilean
Zed	Lissandra
Fizz	Shen
Lissandra	Zed
Lissandra	Lulu
Nidalee	Lissandra
Nidalee	Bard
Fizz	Zed
Lucian	Lulu
Lissandra	Nidalee
Lulu	Lucian
Fizz	Lulu
Lissandra	Zilean
Lee Sin	Nidalee
Lee Sin	Lulu
Zed	Lee Sin
Fizz	Nidalee
Zed	Lissandra
Zed	Fizz
Lee Sin	Nidalee
Lee Sin	Shen
Zed	Bard
Lissandra	Zed
Zilean	Lissandra
Lee Sin	Zed
Bard	Lulu
Lucian	Nidalee
Fizz	Zilean
Lee Sin	Shen
Fizz	Zed
Lissandra	Nidalee
Lissandra	Lulu
Zed	Lissandra
Nidalee	Lee Sin
Fizz	Nidalee
Zed	Lucian
Fizz	Zed
Fizz	Zilean
Lulu	Fizz
Bard	Lulu
Lissandra	Shen
Lee Sin	Lulu
Lee Sin	Shen
Lissandra	Zilean
Zed	Lucian
Lee Sin	Zed
Nidalee	Lissandra
Fizz	Lulu
Bard	Nidalee
Zed	Fizz
Zed	Bard
Lissandra	Lulu
Lucian	Zilean
