Champion Rank by counts:
         champion   count
101        Thresh  824053
10     Blitzcrank  599817
54        Lee Sin  597177
57         Lucian  508481
64   Miss Fortune  461307
66        Morgana  444125
38          Janna  424918
110         Vayne  394661
11          Brand  356225
59            Lux  354702
55          Leona  351284
24         Ezreal  339149
94         Soraka  327060
3         Alistar  314451
12          Braum  312428
60       Malphite  311055
102      Tristana  296568
13        Caitlyn  256157
42           Jinx  254083
9            Bard  253117
93           Sona  249311
67           Nami  243651
69       Nautilus  241032
87           Shen  234989
58           Lulu  223844
1            Ahri  215630
121         Yasuo  205290
97     Tahm Kench  202146
124           Zed  198274
105  Twisted Fate  195338
6           Annie  184811
19      Dr. Mundo  183612
81         Rengar  179737
103       Trundle  177828
27           Fizz  171484
78         Rammus  164754
33         Graves  158519
4           Amumu  154527
21           Ekko  152722
80       Renekton  149132
40            Jax  147581
51        Kindred  140518
120      Xin Zhao  139158
116      Volibear  137703
63      Master Yi  136896
53        LeBlanc  136719
76          Poppy  136659
82          Riven  131350
113            Vi  125218
77          Quinn  124761
7            Ashe  122196
118        Wukong  121845
39      Jarvan IV  116048
29      Gangplank  115803
68          Nasus  113407
43        Kalista  113064
74        Orianna  109869
123           Zac  108053
17         Darius  107724
31           Gnar  105400
107          Udyr  104094
26          Fiora  103598
37         Irelia  103035
18          Diana  102617
91          Sivir  102301
44          Karma  102292
34        Hecarim  101535
75       Pantheon  100515
70        Nidalee  100079
115      Vladimir   99907
99          Taric   99601
86          Shaco   99437
30          Garen   97124
5          Anivia   96572
112       Vel'Koz   95938
61       Malzahar   94928
16          Corki   94687
22          Elise   94625
126        Zilean   92070
79        Rek'Sai   89189
104    Tryndamere   87515
20         Draven   87454
36         Illaoi   87199
46       Kassadin   83860
117       Warwick   83740
15       Cho'Gath   82490
98          Talon   82317
127          Zyra   81364
114        Viktor   79366
100         Teemo   76353
48          Kayle   70909
88        Shyvana   70368
84           Ryze   69714
8            Azir   69030
106        Twitch   67821
23        Evelynn   65596
56      Lissandra   62975
32         Gragas   61903
47       Katarina   61834
111        Veigar   61420
109         Varus   59356
71       Nocturne   58228
73           Olaf   57607
85        Sejuani   56019
96         Syndra   51847
90           Sion   50757
72           Nunu   49815
49         Kennen   48869
50        Kha'Zix   48208
35   Heimerdinger   47630
119        Xerath   45950
41          Jayce   44514
62         Maokai   44047
95          Swain   42617
89         Singed   41391
25   Fiddlesticks   39794
125         Ziggs   37400
52        Kog'Maw   36591
83         Rumble   34179
2           Akali   33534
0          Aatrox   30917
45        Karthus   30515
92        Skarner   28356
28          Galio   27114
14     Cassiopeia   23276
122        Yorick   12544
108         Urgot    9302
65    Mordekaiser    8807

---------------------------------------------------------
Champion Rank by eigenvector centrality
         champion   eigen_1
101        Thresh  0.366188
54        Lee Sin  0.269323
10     Blitzcrank  0.267256
57         Lucian  0.219929
66        Morgana  0.197386
64   Miss Fortune  0.195009
38          Janna  0.191850
110         Vayne  0.167639
11          Brand  0.163847
59            Lux  0.163160
55          Leona  0.152718
60       Malphite  0.144738
24         Ezreal  0.144474
12          Braum  0.141355
94         Soraka  0.140755
3         Alistar  0.137088
102      Tristana  0.125367
9            Bard  0.112504
93           Sona  0.109902
67           Nami  0.109734
87           Shen  0.108155
13        Caitlyn  0.107259
69       Nautilus  0.106923
42           Jinx  0.106093
1            Ahri  0.104617
58           Lulu  0.102492
121         Yasuo  0.096748
105  Twisted Fate  0.095172
124           Zed  0.091871
97     Tahm Kench  0.089002
6           Annie  0.084789
19      Dr. Mundo  0.083950
81         Rengar  0.082087
103       Trundle  0.081830
27           Fizz  0.081070
78         Rammus  0.075198
21           Ekko  0.071163
80       Renekton  0.070282
4           Amumu  0.069769
33         Graves  0.068974
40            Jax  0.066775
53        LeBlanc  0.065117
76          Poppy  0.063208
51        Kindred  0.062794
120      Xin Zhao  0.062147
116      Volibear  0.061889
82          Riven  0.061391
