Champion Rank by counts:
         champion      count
67           Nami  15.268267
38          Janna  14.727506
12          Braum  14.124870
94         Soraka  14.058027
101        Thresh  13.811561
93           Sona  13.646669
55          Leona  13.445248
3         Alistar  13.390010
9            Bard  13.254975
99          Taric  13.093335
10     Blitzcrank  12.673886
66        Morgana  12.665764
69       Nautilus  12.272505
126        Zilean  12.241723
58           Lulu  11.609564
44          Karma  11.527158
87           Shen  11.386229
78         Rammus  11.246007
85        Sejuani  11.057837
4           Amumu  10.947715
127          Zyra  10.900857
123           Zac  10.833467
39      Jarvan IV  10.810247
28          Galio  10.806696
72           Nunu  10.617008
62         Maokai  10.405622
59            Lux  10.262477
97     Tahm Kench   9.712487
92        Skarner   9.621988
112       Vel'Koz   9.579431
90           Sion   9.526464
32         Gragas   9.424939
11          Brand   9.380761
60       Malphite   9.337626
74        Orianna   9.242786
79        Rek'Sai   9.070375
25   Fiddlesticks   9.033825
103       Trundle   8.999848
45        Karthus   8.959190
116      Volibear   8.819201
7            Ashe   8.770887
91          Sivir   8.716111
119        Xerath   8.622631
54        Lee Sin   8.568188
23        Evelynn   8.503500
105  Twisted Fate   8.499608
64   Miss Fortune   8.473366
117       Warwick   8.258383
56      Lissandra   8.232026
125         Ziggs   8.228823
6           Annie   8.212727
24         Ezreal   8.206475
19      Dr. Mundo   8.192575
1            Ahri   8.077543
109         Varus   7.982249
34        Hecarim   7.934281
89         Singed   7.903571
16          Corki   7.897164
29      Gangplank   7.817660
113            Vi   7.782833
5          Anivia   7.682737
83         Rumble   7.651444
42           Jinx   7.571910
31           Gnar   7.561518
22          Elise   7.528443
76          Poppy   7.510387
51        Kindred   7.484713
49         Kennen   7.479186
61       Malzahar   7.326953
48          Kayle   7.317750
77          Quinn   7.313929
13        Caitlyn   7.306246
33         Graves   7.304350
21           Ekko   7.274555
71       Nocturne   7.272137
95          Swain   7.220773
57         Lucian   7.206874
111        Veigar   7.180267
118        Wukong   7.171572
122        Yorick   7.139442
8            Azir   7.056839
88        Shyvana   7.023455
114        Viktor   7.022918
52        Kog'Maw   6.999044
35   Heimerdinger   6.997209
75       Pantheon   6.992348
98          Talon   6.977791
41          Jayce   6.977116
108         Urgot   6.967790
86          Shaco   6.940532
96         Syndra   6.885392
106        Twitch   6.885381
43        Kalista   6.796754
47       Katarina   6.775586
120      Xin Zhao   6.764766
70        Nidalee   6.737058
107          Udyr   6.712710
20         Draven   6.611779
115      Vladimir   6.588868
15       Cho'Gath   6.553587
46       Kassadin   6.544915
14     Cassiopeia   6.540039
102      Tristana   6.499408
121         Yasuo   6.469698
18          Diana   6.467322
73           Olaf   6.440134
100         Teemo   6.383496
0          Aatrox   6.374639
53        LeBlanc   6.351638
81         Rengar   6.314760
80       Renekton   6.277920
36         Illaoi   6.256655
65    Mordekaiser   6.237252
84           Ryze   6.153045
110         Vayne   6.141054
50        Kha'Zix   6.073066
68          Nasus   6.039998
27           Fizz   6.026498
30          Garen   5.738493
37         Irelia   5.719400
17         Darius   5.675958
124           Zed   5.655277
2           Akali   5.521818
26          Fiora   5.318172
40            Jax   5.268868
82          Riven   5.103746
104    Tryndamere   5.052246
63      Master Yi   5.003692

---------------------------------------------------------
Champion Rank by eigenvector centrality
         champion   eigen_1
67           Nami  0.150016
38          Janna  0.144490
12          Braum  0.138364
94         Soraka  0.137169
101        Thresh  0.135735
93           Sona  0.134634
55          Leona  0.132176
3         Alistar  0.131137
9            Bard  0.131006
99          Taric  0.128870
66        Morgana  0.125386
10     Blitzcrank  0.124584
69       Nautilus  0.121737
126        Zilean  0.121081
58           Lulu  0.115750
87           Shen  0.115716
44          Karma  0.114976
78         Rammus  0.114900
