Champion Rank by counts:
         champion   count
54        Lee Sin  413971
57         Lucian  390609
110         Vayne  376555
101        Thresh  326365
64   Miss Fortune  314363
10     Blitzcrank  270329
11          Brand  246890
102      Tristana  235608
121         Yasuo  224078
24         Ezreal  221383
124           Zed  208135
13        Caitlyn  206745
42           Jinx  198552
66        Morgana  193202
27           Fizz  184018
40            Jax  180801
59            Lux  176627
63      Master Yi  176347
81         Rengar  172481
82          Riven  160110
60       Malphite  154180
55          Leona  148751
1            Ahri  148445
6           Annie  143383
105  Twisted Fate  135792
80       Renekton  134260
21           Ekko  131653
120      Xin Zhao  125260
17         Darius  123510
33         Graves  122195
3         Alistar  120729
38          Janna  118249
51        Kindred  117979
26          Fiora  117620
12          Braum  117393
53        LeBlanc  117030
94         Soraka  116691
19      Dr. Mundo  114491
9            Bard  113901
77          Quinn  111748
37         Irelia  106933
69       Nautilus  104592
97     Tahm Kench  104458
76          Poppy  104345
18          Diana  101993
43        Kalista  101770
93           Sona  100974
104    Tryndamere   97771
68          Nasus   97243
58           Lulu   96728
103       Trundle   95635
36         Illaoi   93340
87           Shen   93219
115      Vladimir   92588
118        Wukong   92558
113            Vi   89694
75       Pantheon   89539
30          Garen   88374
7            Ashe   88036
70        Nidalee   87641
20         Draven   81955
86          Shaco   81711
29      Gangplank   80960
31           Gnar   80826
98          Talon   79616
116      Volibear   77679
107          Udyr   76386
78         Rammus   75543
22          Elise   75093
100         Teemo   74929
67           Nami   74557
4           Amumu   74091
46       Kassadin   72993
61       Malzahar   71202
34        Hecarim   71066
16          Corki   69053
84           Ryze   68897
15       Cho'Gath   65801
91          Sivir   64040
39      Jarvan IV   63418
114        Viktor   62813
8            Azir   62792
74        Orianna   62781
5          Anivia   59880
106        Twitch   59342
47       Katarina   58400
112       Vel'Koz   55350
48          Kayle   54798
117       Warwick   53312
73           Olaf   52409
44          Karma   49878
88        Shyvana   49841
111        Veigar   49468
50        Kha'Zix   48115
127          Zyra   47700
79        Rek'Sai   46795
96         Syndra   44979
71       Nocturne   44928
23        Evelynn   44897
2           Akali   44344
56      Lissandra   43851
109         Varus   43249
123           Zac   41855
35   Heimerdinger   40039
41          Jayce   38353
49         Kennen   38256
99          Taric   38244
126        Zilean   36207
52        Kog'Maw   34841
32         Gragas   34669
95          Swain   34335
89         Singed   31678
90           Sion   28189
25   Fiddlesticks   27877
0          Aatrox   27853
119        Xerath   27612
83         Rumble   26852
62         Maokai   24150
45        Karthus   24112
125         Ziggs   24057
14     Cassiopeia   23529
72           Nunu   23370
85        Sejuani   23235
28          Galio   14348
92        Skarner   13910
122        Yorick   10314
65    Mordekaiser    9705
108         Urgot    8103


---------------------------------------------------------

Champion Rank by eigenvector centrality
         champion   eigen_1
57         Lucian  0.284331
110         Vayne  0.278845
54        Lee Sin  0.266263
101        Thresh  0.247360
64   Miss Fortune  0.232469
10     Blitzcrank  0.202109
102      Tristana  0.181989
11          Brand  0.172064
24         Ezreal  0.167283
13        Caitlyn  0.159116
42           Jinx  0.153063
66        Morgana  0.142654
121         Yasuo  0.139911
124           Zed  0.139336
27           Fizz  0.121567
63      Master Yi  0.119177
59            Lux  0.118476
81         Rengar  0.117442
40            Jax  0.116078
55          Leona  0.113546
82          Riven  0.100437
60       Malphite  0.100291
1            Ahri  0.098033
6           Annie  0.096597
3         Alistar  0.092081
33         Graves  0.090952
38          Janna  0.090293
12          Braum  0.089594
105  Twisted Fate  0.089313
21           Ekko  0.088452
9            Bard  0.087640
94         Soraka  0.086841
80       Renekton  0.085309
120      Xin Zhao  0.085063
51        Kindred  0.081403
43        Kalista  0.080338
53        LeBlanc  0.079379
77          Quinn  0.078648
19      Dr. Mundo  0.077301
17         Darius  0.077208
69       Nautilus  0.077070
93           Sona  0.076858
97     Tahm Kench  0.075333
26          Fiora  0.074233
76          Poppy  0.069611
58           Lulu  0.069033
18          Diana  0.067579
37         Irelia  0.067446
7            Ashe  0.067342
103       Trundle  0.065210
20         Draven  0.063626
87           Shen  0.063417
113            Vi  0.062363
104    Tryndamere  0.061922
118        Wukong  0.061917
70        Nidalee  0.060734
36         Illaoi  0.060284
68          Nasus  0.060063
75       Pantheon  0.058752
115      Vladimir  0.057205
86          Shaco  0.057108
67           Nami  0.056821
30          Garen  0.056466
98          Talon  0.054580
116      Volibear  0.053441
16          Corki  0.052710
78         Rammus  0.052263
22          Elise  0.052211
107          Udyr  0.052062
29      Gangplank  0.051144
31           Gnar  0.050897
4           Amumu  0.050543
46       Kassadin  0.049737
91          Sivir  0.049395
34        Hecarim  0.047378
100         Teemo  0.046853
61       Malzahar  0.045990
106        Twitch  0.045769
84           Ryze  0.044317
39      Jarvan IV  0.043693
15       Cho'Gath  0.043017
74        Orianna  0.041870
8            Azir  0.041668
114        Viktor  0.041073
5          Anivia  0.040418
