Champion Rank by counts:
         champion      count
54        Lee Sin  24.704498
57         Lucian  21.310952
110         Vayne  20.414608
101        Thresh  17.664900
64   Miss Fortune  17.339585
10     Blitzcrank  14.913847
11          Brand  14.382368
121         Yasuo  13.835617
102      Tristana  12.671593
124           Zed  12.238683
24         Ezreal  12.101054
13        Caitlyn  11.146384
27           Fizz  11.052390
40            Jax  10.960803
66        Morgana  10.745008
42           Jinx  10.683819
59            Lux  10.559516
63      Master Yi  10.316808
81         Rengar  10.124356
82          Riven   9.580053
60       Malphite   9.251263
1            Ahri   8.891261
6           Annie   8.491242
105  Twisted Fate   8.095760
55          Leona   8.066142
80       Renekton   7.966114
21           Ekko   7.727372
17         Darius   7.479869
120      Xin Zhao   7.286244
26          Fiora   6.995051
53        LeBlanc   6.889972
51        Kindred   6.854463
33         Graves   6.740557
19      Dr. Mundo   6.676718
3         Alistar   6.502944
37         Irelia   6.455859
77          Quinn   6.400439
12          Braum   6.389229
94         Soraka   6.353094
38          Janna   6.319336
76          Poppy   6.152903
9            Bard   6.104788
18          Diana   6.034059
68          Nasus   5.956247
104    Tryndamere   5.922065
97     Tahm Kench   5.887191
69       Nautilus   5.781807
115      Vladimir   5.675970
36         Illaoi   5.565297
103       Trundle   5.491956
58           Lulu   5.461711
93           Sona   5.446053
118        Wukong   5.413341
87           Shen   5.401610
43        Kalista   5.354013
75       Pantheon   5.331477
30          Garen   5.221786
113            Vi   5.178903
70        Nidalee   5.025660
29      Gangplank   4.839584
31           Gnar   4.835924
7            Ashe   4.761834
86          Shaco   4.691721
100         Teemo   4.663961
98          Talon   4.599252
116      Volibear   4.474591
107          Udyr   4.411326
4           Amumu   4.389172
20         Draven   4.357385
78         Rammus   4.321854
22          Elise   4.313801
61       Malzahar   4.303377
46       Kassadin   4.207556
34        Hecarim   4.184328
84           Ryze   4.179465
67           Nami   4.006631
15       Cho'Gath   3.869007
114        Viktor   3.757917
8            Azir   3.717928
74        Orianna   3.700806
39      Jarvan IV   3.687128
16          Corki   3.675236
5          Anivia   3.533707
47       Katarina   3.477570
91          Sivir   3.405660
48          Kayle   3.277314
106        Twitch   3.209701
117       Warwick   3.129541
112       Vel'Koz   3.118816
73           Olaf   3.112550
111        Veigar   3.011124
88        Shyvana   2.840226
44          Karma   2.768658
50        Kha'Zix   2.694186
79        Rek'Sai   2.652076
2           Akali   2.651513
96         Syndra   2.638367
127          Zyra   2.603141
56      Lissandra   2.571343
23        Evelynn   2.551134
71       Nocturne   2.537518
35   Heimerdinger   2.500116
109         Varus   2.381476
123           Zac   2.362916
41          Jayce   2.304176
49         Kennen   2.290676
99          Taric   2.137803
95          Swain   2.073297
126        Zilean   1.975075
32         Gragas   1.945340
52        Kog'Maw   1.910015
89         Singed   1.891367
0          Aatrox   1.661718
90           Sion   1.645882
119        Xerath   1.638000
83         Rumble   1.632542
25   Fiddlesticks   1.630189
45        Karthus   1.451719
14     Cassiopeia   1.425530
125         Ziggs   1.424191
62         Maokai   1.416582
72           Nunu   1.343069
85        Sejuani   1.334029
28          Galio   0.824838
92        Skarner   0.813584
122        Yorick   0.624693
65    Mordekaiser   0.577355
108         Urgot   0.462964


---------------------------------------------------------

Champion Rank by eigenvector centrality
         champion   eigen_1
54        Lee Sin  0.291931
57         Lucian  0.275164
110         Vayne  0.264297
101        Thresh  0.229815
64   Miss Fortune  0.221012
10     Blitzcrank  0.190315
11          Brand  0.173950
102      Tristana  0.166405
121         Yasuo  0.158402
24         Ezreal  0.156230
124           Zed  0.147757
13        Caitlyn  0.145704
42           Jinx  0.139694
66        Morgana  0.136146
27           Fizz  0.130144
40            Jax  0.127117
59            Lux  0.125732
63      Master Yi  0.124221
81         Rengar  0.121770
82          Riven  0.112952
60       Malphite  0.109235
1            Ahri  0.105459
55          Leona  0.104672
6           Annie  0.101365
105  Twisted Fate  0.096318
80       Renekton  0.095072
21           Ekko  0.093202
120      Xin Zhao  0.088501
17         Darius  0.087033
33         Graves  0.086336
3         Alistar  0.084991
38          Janna  0.083486
51        Kindred  0.083181
53        LeBlanc  0.083029
26          Fiora  0.082968
12          Braum  0.082756
94         Soraka  0.082420
19      Dr. Mundo  0.081295
9            Bard  0.080083
77          Quinn  0.078754
37         Irelia  0.075406
97     Tahm Kench  0.073731
69       Nautilus  0.073720
76          Poppy  0.073489
18          Diana  0.072332
43        Kalista  0.071427
93           Sona  0.071254
104    Tryndamere  0.068979
68          Nasus  0.068956
58           Lulu  0.068468
103       Trundle  0.067554
87           Shen  0.065951
36         Illaoi  0.065832
115      Vladimir  0.065374
118        Wukong  0.065315
113            Vi  0.063370
75       Pantheon  0.063160
30          Garen  0.062719
7            Ashe  0.062001
70        Nidalee  0.061997
86          Shaco  0.057725
20         Draven  0.057590
29      Gangplank  0.057488
31           Gnar  0.057245
98          Talon  0.056386
116      Volibear  0.054973
107          Udyr  0.054134
78         Rammus  0.053511
22          Elise  0.053020
100         Teemo  0.052992
67           Nami  0.052587
4           Amumu  0.052374
46       Kassadin  0.051902
61       Malzahar  0.050531
34        Hecarim  0.050228
84           Ryze  0.048831
16          Corki  0.048585
15       Cho'Gath  0.046717
91          Sivir  0.045125
39      Jarvan IV  0.044798
74        Orianna  0.044611
114        Viktor  0.044534
8            Azir  0.044510
5          Anivia  0.042454
106        Twitch  0.041733
47       Katarina  0.041506
112       Vel'Koz  0.039182
48          Kayle  0.038845
117       Warwick  0.037731
73           Olaf  0.036990
44          Karma  0.035269
88        Shyvana  0.035256
111        Veigar  0.035152
50        Kha'Zix  0.034069
127          Zyra  0.033574
79        Rek'Sai  0.033088
96         Syndra  0.031839
71       Nocturne  0.031758
23        Evelynn  0.031738
2           Akali  0.031476
56      Lissandra  0.031061
109         Varus  0.030497
123           Zac  0.029500
35   Heimerdinger  0.028436
41          Jayce  0.027184
49         Kennen  0.027051
99          Taric  0.027012
126        Zilean  0.025522
52        Kog'Maw  0.024578
32         Gragas  0.024562
95          Swain  0.024455
89         Singed  0.022412
90           Sion  0.019927
25   Fiddlesticks  0.019681
0          Aatrox  0.019671
119        Xerath  0.019623
83         Rumble  0.018950
45        Karthus  0.017103
125         Ziggs  0.017079
62         Maokai  0.017045
14     Cassiopeia  0.016655
72           Nunu  0.016590
85        Sejuani  0.016440
28          Galio  0.010151
92        Skarner  0.009864
122        Yorick  0.007315
65    Mordekaiser  0.006876
108         Urgot  0.005731

-------------------------------------------------------------------------

Champion Rank by eigenvector centrality ratio
         champion     eigen   eigen_t  eigen_ratio
101        Thresh  0.229815  0.029053     7.910110
94         Soraka  0.082420  0.010750     7.666760
38          Janna  0.083486  0.014215     5.872911
10     Blitzcrank  0.190315  0.037649     5.055049
12          Braum  0.082756  0.023332     3.546939
55          Leona  0.104672  0.031234     3.351264
3         Alistar  0.084991  0.027421     3.099477
54        Lee Sin  0.291931  0.100247     2.912110
57         Lucian  0.275164  0.098494     2.793724
66        Morgana  0.136146  0.049060     2.775108
110         Vayne  0.264297  0.101080     2.614745
64   Miss Fortune  0.221012  0.096509     2.290053
