Champion Rank by counts:
         champion   count
57         Lucian  488206
54        Lee Sin  463826
110         Vayne  459667
64   Miss Fortune  369293
102      Tristana  320579
124           Zed  295655
24         Ezreal  282324
27           Fizz  251426
81         Rengar  230149
11          Brand  228884
63      Master Yi  219558
42           Jinx  217988
121         Yasuo  212933
59            Lux  207441
13        Caitlyn  196367
40            Jax  179382
1            Ahri  176749
53        LeBlanc  171374
82          Riven  167683
60       Malphite  159991
33         Graves  150876
105  Twisted Fate  144976
21           Ekko  141133
6           Annie  137262
80       Renekton  132982
77          Quinn  132620
26          Fiora  128359
51        Kindred  125829
120      Xin Zhao  125093
37         Irelia  123224
10     Blitzcrank  122560
19      Dr. Mundo  122255
43        Kalista  121301
101        Thresh  119038
17         Darius  118370
118        Wukong  117248
66        Morgana  117204
18          Diana  116507
75       Pantheon  112958
30          Garen  111228
86          Shaco  107775
98          Talon  105398
104    Tryndamere  103927
76          Poppy  103506
113            Vi   99053
70        Nidalee   99012
116      Volibear   98034
46       Kassadin   96692
103       Trundle   96594
68          Nasus   93109
20         Draven   91707
29      Gangplank   89993
107          Udyr   88702
16          Corki   87660
34        Hecarim   83949
61       Malzahar   82052
97     Tahm Kench   81174
5          Anivia   80619
22          Elise   80322
115      Vladimir   79613
106        Twitch   78875
7            Ashe   78440
87           Shen   78237
47       Katarina   75775
15       Cho'Gath   75048
114        Viktor   74129
31           Gnar   71446
100         Teemo   71379
4           Amumu   66818
84           Ryze   65696
78         Rammus   64229
36         Illaoi   63962
91          Sivir   63504
74        Orianna   62935
39      Jarvan IV   60499
88        Shyvana   60110
50        Kha'Zix   60072
112       Vel'Koz   58513
71       Nocturne   58418
117       Warwick   58165
58           Lulu   58112
23        Evelynn   57439
69       Nautilus   56175
55          Leona   56055
73           Olaf   55980
111        Veigar   55759
2           Akali   54847
93           Sona   54631
8            Azir   54129
96         Syndra   54029
48          Kayle   53534
79        Rek'Sai   50928
9            Bard   50907
109         Varus   50357
123           Zac   46838
3         Alistar   43489
41          Jayce   42436
95          Swain   39037
56      Lissandra   38320
127          Zyra   35632
12          Braum   35469
52        Kog'Maw   35421
49         Kennen   34221
119        Xerath   34203
44          Karma   32165
35   Heimerdinger   31266
67           Nami   29327
32         Gragas   28012
38          Janna   27902
0          Aatrox   27874
125         Ziggs   26439
83         Rumble   24657
90           Sion   23963
14     Cassiopeia   23583
45        Karthus   23326
126        Zilean   23141
85        Sejuani   23030
89         Singed   22089
25   Fiddlesticks   20330
94         Soraka   17191
62         Maokai   16540
72           Nunu   16484
99          Taric   14921
92        Skarner   13596
28          Galio   10792
122        Yorick    8101
65    Mordekaiser    7682
108         Urgot    7293


---------------------------------------------------------

Champion Rank by eigenvector centrality
         champion   eigen_1
57         Lucian  0.334871
110         Vayne  0.305472
54        Lee Sin  0.283480
64   Miss Fortune  0.255346
102      Tristana  0.231427
24         Ezreal  0.201970
124           Zed  0.198167
27           Fizz  0.163430
81         Rengar  0.161733
42           Jinx  0.150423
11          Brand  0.147950
63      Master Yi  0.141122
13        Caitlyn  0.139129
59            Lux  0.135427
121         Yasuo  0.133741
1            Ahri  0.114972
53        LeBlanc  0.113158
40            Jax  0.110695
60       Malphite  0.105322
33         Graves  0.104156
82          Riven  0.102489
105  Twisted Fate  0.096573
6           Annie  0.092649
77          Quinn  0.090802
21           Ekko  0.090068
10     Blitzcrank  0.087401
43        Kalista  0.087079
101        Thresh  0.086753
51        Kindred  0.082248
120      Xin Zhao  0.080746
80       Renekton  0.080449
66        Morgana  0.080362
118        Wukong  0.077289
18          Diana  0.077173
26          Fiora  0.076639
37         Irelia  0.076572
19      Dr. Mundo  0.075618
86          Shaco  0.075527
98          Talon  0.073928
75       Pantheon  0.071896
76          Poppy  0.067976
30          Garen  0.067588
113            Vi  0.067376
17         Darius  0.067368
20         Draven  0.066567
70        Nidalee  0.064954
46       Kassadin  0.064029
104    Tryndamere  0.063303
16          Corki  0.063216
116      Volibear  0.061530
103       Trundle  0.059831
106        Twitch  0.057889
107          Udyr  0.057490
29      Gangplank  0.056946
34        Hecarim  0.055607
68          Nasus  0.055344
7            Ashe  0.054732
22          Elise  0.052739
61       Malzahar  0.051902
5          Anivia  0.051755
97     Tahm Kench  0.051175
47       Katarina  0.050666
87           Shen  0.050239
