Champion Rank by counts:
         champion     count
2           Akali  9.031286
98          Talon  8.934305
27           Fizz  8.835916
124           Zed  8.432829
47       Katarina  8.303200
81         Rengar  8.085901
63      Master Yi  8.025074
106        Twitch  8.007614
53        LeBlanc  7.961626
75       Pantheon  7.857948
77          Quinn  7.774651
50        Kha'Zix  7.567649
46       Kassadin  7.546398
86          Shaco  7.522510
23        Evelynn  7.446072
18          Diana  7.342724
16          Corki  7.311093
71       Nocturne  7.295866
43        Kalista  7.291915
96         Syndra  7.175166
110         Vayne  7.152569
102      Tristana  7.025619
33         Graves  6.952170
20         Draven  6.933318
57         Lucian  6.919510
118        Wukong  6.901001
45        Karthus  6.848503
37         Irelia  6.840078
24         Ezreal  6.831466
64   Miss Fortune  6.783237
52        Kog'Maw  6.775249
109         Varus  6.772055
21           Ekko  6.722540
121         Yasuo  6.710567
51        Kindred  6.702301
70        Nidalee  6.665231
54        Lee Sin  6.654892
41          Jayce  6.651411
14     Cassiopeia  6.626300
1            Ahri  6.621053
95          Swain  6.614199
26          Fiora  6.589271
30          Garen  6.571817
34        Hecarim  6.560053
114        Viktor  6.559508
111        Veigar  6.518471
82          Riven  6.515504
42           Jinx  6.496245
119        Xerath  6.418277
5          Anivia  6.413604
40            Jax  6.404213
22          Elise  6.390485
61       Malzahar  6.333128
105  Twisted Fate  6.308241
116      Volibear  6.278596
73           Olaf  6.258245
17         Darius  6.236893
113            Vi  6.156567
6           Annie  6.099720
120      Xin Zhao  6.081036
29      Gangplank  6.075272
11          Brand  6.027387
59            Lux  6.001823
104    Tryndamere  5.999711
88        Shyvana  5.999601
100         Teemo  5.967645
15       Cho'Gath  5.962342
112       Vel'Koz  5.842536
125         Ziggs  5.817162
84           Ryze  5.798411
0          Aatrox  5.747216
117       Warwick  5.736193
107          Udyr  5.720126
76          Poppy  5.688393
39      Jarvan IV  5.635678
7            Ashe  5.630204
13        Caitlyn  5.600884
80       Renekton  5.598064
8            Azir  5.533531
48          Kayle  5.524665
83         Rumble  5.519812
108         Urgot  5.462921
19      Dr. Mundo  5.454890
65    Mordekaiser  5.440510
91          Sivir  5.410582
74        Orianna  5.294439
115      Vladimir  5.250478
49         Kennen  5.237374
79        Rek'Sai  5.179294
31           Gnar  5.125619
56      Lissandra  5.009150
68          Nasus  4.958937
103       Trundle  4.888608
60       Malphite  4.802804
127          Zyra  4.773848
4           Amumu  4.733829
123           Zac  4.696010
25   Fiddlesticks  4.615210
92        Skarner  4.613505
122        Yorick  4.610700
35   Heimerdinger  4.593213
36         Illaoi  4.589366
85        Sejuani  4.545993
90           Sion  4.497560
78         Rammus  4.384232
28          Galio  4.301315
32         Gragas  4.264921
89         Singed  4.217873
62         Maokai  3.907394
97     Tahm Kench  3.900159
87           Shen  3.790920
44          Karma  3.624634
72           Nunu  3.513214
66        Morgana  3.342478
126        Zilean  3.076851
58           Lulu  3.013952
93           Sona  2.990366
69       Nautilus  2.860234
9            Bard  2.665846
10     Blitzcrank  2.589642
55          Leona  2.145482
101        Thresh  1.995139
99          Taric  1.961483
3         Alistar  1.851857
67           Nami  1.837762
12          Braum  1.603554
38          Janna  0.967073
94         Soraka  0.738921


---------------------------------------------------------

Champion Rank by eigenvector centrality
         champion   eigen_1
2           Akali  0.137101
98          Talon  0.136831
27           Fizz  0.133501
124           Zed  0.129720
47       Katarina  0.123811
81         Rengar  0.122539
53        LeBlanc  0.120084
63      Master Yi  0.118300
75       Pantheon  0.117326
77          Quinn  0.115888
106        Twitch  0.115091
86          Shaco  0.114605
50        Kha'Zix  0.113988
46       Kassadin  0.113938
23        Evelynn  0.112072
18          Diana  0.111487
71       Nocturne  0.111259
96         Syndra  0.109103
16          Corki  0.105240
118        Wukong  0.104194
37         Irelia  0.103349
45        Karthus  0.103326
43        Kalista  0.101933
121         Yasuo  0.101611
110         Vayne  0.101080
33         Graves  0.100750
95          Swain  0.100722
21           Ekko  0.100692
102      Tristana  0.100539
41          Jayce  0.100396
54        Lee Sin  0.100247
1            Ahri  0.100081
34        Hecarim  0.099378
51        Kindred  0.099360
30          Garen  0.099331
26          Fiora  0.098735
20         Draven  0.098645
14     Cassiopeia  0.098607
70        Nidalee  0.098581
111        Veigar  0.098549
57         Lucian  0.098494
82          Riven  0.098452
24         Ezreal  0.098085
114        Viktor  0.098048
52        Kog'Maw  0.097807
109         Varus  0.097489
64   Miss Fortune  0.096509
119        Xerath  0.096451
5          Anivia  0.096377
40            Jax  0.096181
61       Malzahar  0.095782
22          Elise  0.095184
105  Twisted Fate  0.094164
73           Olaf  0.094102
113            Vi  0.093718
116      Volibear  0.093623
6           Annie  0.092297
42           Jinx  0.092033
17         Darius  0.091852
120      Xin Zhao  0.091675
29      Gangplank  0.091071
104    Tryndamere  0.090932
88        Shyvana  0.090227
100         Teemo  0.090190
59            Lux  0.089790
15       Cho'Gath  0.089611
11          Brand  0.088565
84           Ryze  0.087098
125         Ziggs  0.087036
117       Warwick  0.087024
0          Aatrox  0.086749
76          Poppy  0.086346
107          Udyr  0.086110
112       Vel'Koz  0.086087
39      Jarvan IV  0.085687
80       Renekton  0.085129
48          Kayle  0.083256
8            Azir  0.082914
83         Rumble  0.081622
19      Dr. Mundo  0.081595
65    Mordekaiser  0.081510
108         Urgot  0.081307
13        Caitlyn  0.080615
7            Ashe  0.079847
74        Orianna  0.079806
115      Vladimir  0.078757
79        Rek'Sai  0.078404
49         Kennen  0.078268
91          Sivir  0.077045
56      Lissandra  0.076942
31           Gnar  0.076868
68          Nasus  0.075060
103       Trundle  0.073423
60       Malphite  0.072936
4           Amumu  0.070530
123           Zac  0.070328
92        Skarner  0.070110
122        Yorick  0.070066
127          Zyra  0.069557
35   Heimerdinger  0.069465
25   Fiddlesticks  0.069076
36         Illaoi  0.069034
85        Sejuani  0.068313
78         Rammus  0.067492
90           Sion  0.067140
28          Galio  0.065192
32         Gragas  0.064474
89         Singed  0.063714
62         Maokai  0.058552
97     Tahm Kench  0.057396
87           Shen  0.056852
44          Karma  0.053455
72           Nunu  0.052639
66        Morgana  0.049060
58           Lulu  0.045250
126        Zilean  0.044626
93           Sona  0.043452
69       Nautilus  0.042326
9            Bard  0.039163
10     Blitzcrank  0.037649
55          Leona  0.031234
99          Taric  0.029165
101        Thresh  0.029053
3         Alistar  0.027421
67           Nami  0.026539
12          Braum  0.023332
38          Janna  0.014215
94         Soraka  0.010750

-------------------------------------------------------------------------

Champion Rank by eigenvector centrality ratio
         champion     eigen   eigen_t  eigen_ratio
108         Urgot  0.081307  0.005731    14.186939
65    Mordekaiser  0.081510  0.006876    11.854637
122        Yorick  0.070066  0.007315     9.578702
92        Skarner  0.070110  0.009864     7.107768
28          Galio  0.065192  0.010151     6.422204
45        Karthus  0.103326  0.017103     6.041203
14     Cassiopeia  0.098607  0.016655     5.920541
125         Ziggs  0.087036  0.017079     5.096208
119        Xerath  0.096451  0.019623     4.915250
0          Aatrox  0.086749  0.019671     4.410034
2           Akali  0.137101  0.031476     4.355667
83         Rumble  0.081622  0.018950     4.307248
85        Sejuani  0.068313  0.016440     4.155387
95          Swain  0.100722  0.024455     4.118602
52        Kog'Maw  0.097807  0.024578     3.979447
41          Jayce  0.100396  0.027184     3.693166
23        Evelynn  0.112072  0.031738     3.531182
25   Fiddlesticks  0.069076  0.019681     3.509785
71       Nocturne  0.111259  0.031758     3.503377
62         Maokai  0.058552  0.017045     3.435158
96         Syndra  0.109103  0.031839     3.426660
90           Sion  0.067140  0.019927     3.369235
50        Kha'Zix  0.113988  0.034069     3.345796
109         Varus  0.097489  0.030497     3.196643
72           Nunu  0.052639  0.016590     3.172931
47       Katarina  0.123811  0.041506     2.982962
